id,text,options,answer,solution,notes,table,graph
A1,,"{""A"": ""$\\frac{2}{3}$"", ""B"": ""0"", ""C"": ""$-\\frac{4}{3}$"", ""D"": ""-2""}",C,The integral is equal to $\left.\left(\frac{1}{3^2}-\frac{1}{2^2}-x\right)\right|_{-1} ^1=-\frac{7}{6}-\frac{1}{6}$,The integral is equal to $\left.\left(\frac{1}{3^2}-\frac{1}{2^2}-x\right)\right|_{-1} ^1=-\frac{7}{6}-\frac{1}{6}$,,
A2,,"{""A"": ""$\\frac{3}{4}$"", ""B"": ""$1-\\frac{1}{3} \\ln 2$"", ""C"": ""$1-\\ln 2$"", ""D"": ""$-\\frac{1}{3} \\ln 2$""}",B,"Remite as $\int_1^2 \left\lvert\,\left(\left.1-\frac{1}{3} \frac{1}{x} \right\rvert\, d t\right.$ his equals \right.  $\left.\left|x-\frac{1}{3} \ln x\right|\right|_1 ^2=2-\frac{1}{3} \ln 2-1$","Remite as $\int_1^2 \left\lvert\,\left(\left.1-\frac{1}{3} \frac{1}{x} \right\rvert\, d t\right.$ his equals \right.  $\left.\left|x-\frac{1}{3} \ln x\right|\right|_1 ^2=2-\frac{1}{3} \ln 2-1$",,
A3,,"{""A"": ""-2"", ""B"": ""4"", ""C"": ""-1"", ""D"": ""2""}",D,Rewrite as  $-\int_0^3(4-i)^{-12}\left(-1(4)=-2 \sqrt{4-1} \int_0^1=-2(1-2)\right.$,Rewrite as  $-\int_0^3(4-i)^{-12}\left(-1(4)=-2 \sqrt{4-1} \int_0^1=-2(1-2)\right.$,,
A4,,"{""A"": ""2"", ""B"": ""$\\frac{14}{9}$"", ""C"": ""$\\frac{14}{3}$"", ""D"": ""$\\frac{7}{2}$""}",B,"This integral equals $\frac{1}{3} \int_{-1}^0(3 u+4)^{1 / 2} \cdot 3 d u=\frac{1}{3},\left.\frac{2}{3}(3 u+4)^{3 a}\right|_{-1} ^0$ $=\frac{2}{9}\left(4^{1 / 2}-1^{1 / 2}\right)^{-1}$","This integral equals $\frac{1}{3} \int_{-1}^0(3 u+4)^{1 / 2} \cdot 3 d u=\frac{1}{3},\left.\frac{2}{3}(3 u+4)^{3 a}\right|_{-1} ^0$ $=\frac{2}{9}\left(4^{1 / 2}-1^{1 / 2}\right)^{-1}$",,
A5,,"{""A"": ""$\\ln 3$"", ""B"": ""$\\frac{1}{2} \\ln \\frac{3}{2}$"", ""C"": ""$\\frac{16}{9}$"", ""D"": ""$\\ln \\sqrt{3}$""}",D,$\frac{1}{2} \int_2^3 \frac{2 d y}{2 y-3}=\left.\frac{1}{2} \ln (2 y-3)\right|_2 ^3=\frac{1}{2}(\ln 3-\ln 1)$,$\frac{1}{2} \int_2^3 \frac{2 d y}{2 y-3}=\left.\frac{1}{2} \ln (2 y-3)\right|_2 ^3=\frac{1}{2}(\ln 3-\ln 1)$,,
A6,,"{""A"": ""1"", ""B"": ""$\\frac{\\pi}{6}$"", ""C"": ""-1"", ""D"": ""2""}",A,Rewrite as  $\frac{1}{2} \int_0^{\sqrt{5}}\left(4-x^2\right)^{-1 / 2}(-2 x d x)=\left.\frac{1}{2} \cdot 2 \sqrt{4-x^3}\right|_0 ^{\sqrt{5}}=-(1-2)$,Rewrite as  $\frac{1}{2} \int_0^{\sqrt{5}}\left(4-x^2\right)^{-1 / 2}(-2 x d x)=\left.\frac{1}{2} \cdot 2 \sqrt{4-x^3}\right|_0 ^{\sqrt{5}}=-(1-2)$,,
A7,,"{""A"": ""$\\frac{1}{4}$"", ""B"": ""$\\frac{1}{2}$"", ""C"": ""0"", ""D"": ""4""}",C,$\frac{1}{2} \int_0^1(2 t-1)^3(2 \Delta t)=\left.\frac{1}{2} \cdot \frac{(2 t-1)^4}{4}\right|_0 ^1=\frac{1}{2}\left(\frac{(2 \cdot 1-1)^4}{4}-\frac{(2 \cdot 0-1)^4}{4}\right)$,$\frac{1}{2} \int_0^1(2 t-1)^3(2 \Delta t)=\left.\frac{1}{2} \cdot \frac{(2 t-1)^4}{4}\right|_0 ^1=\frac{1}{2}\left(\frac{(2 \cdot 1-1)^4}{4}-\frac{(2 \cdot 0-1)^4}{4}\right)$,,
A8,,"{""A"": ""$\\frac{25}{3}$"", ""B"": ""$\\frac{41}{3}$"", ""C"": ""$\\frac{100}{3}$"", ""D"": ""$\\frac{5}{3}$""}",A,"Divide: $\int_4^8\left(x^{-1 / 2}+\frac{1}{2} x^{1 / 2}\right) d x=\left.\left(2 x^{1 / 2}+\frac{1}{2} \cdot \frac{2}{3} x^{3 / 2}\right)\right|^3$, $=\left(2 \cdot 3+\frac{1}{3} \cdot 27\right)-\left(2 \cdot 2+\frac{1}{3} \cdot 8\right)$","Divide: $\int_4^8\left(x^{-1 / 2}+\frac{1}{2} x^{1 / 2}\right) d x=\left.\left(2 x^{1 / 2}+\frac{1}{2} \cdot \frac{2}{3} x^{3 / 2}\right)\right|^3$, $=\left(2 \cdot 3+\frac{1}{3} \cdot 27\right)-\left(2 \cdot 2+\frac{1}{3} \cdot 8\right)$",,
A9,,"{""A"": ""$\\frac{\\pi}{2}$"", ""B"": ""0"", ""C"": ""$\\frac{\\pi}{6}$"", ""D"": ""$-\\frac{\\pi}{2}$""}",C,$\frac{1}{9} \int_{-3}^3 \frac{d x}{1+\frac{x^2}{3}}=3 \cdot \frac{1}{9} \int_{-3}^3 \frac{\frac{1}{3} d x}{1+\left(\frac{x^2}{3}\right)^2}=\left.\frac{1}{3} \tan ^{-1} \frac{x}{3}\right|_{-3} ^3=\frac{1}{3}\left(\frac{\pi}{4}-\left(-\frac{\pi}{4}\right)\right)$,$\frac{1}{9} \int_{-3}^3 \frac{d x}{1+\frac{x^2}{3}}=3 \cdot \frac{1}{9} \int_{-3}^3 \frac{\frac{1}{3} d x}{1+\left(\frac{x^2}{3}\right)^2}=\left.\frac{1}{3} \tan ^{-1} \frac{x}{3}\right|_{-3} ^3=\frac{1}{3}\left(\frac{\pi}{4}-\left(-\frac{\pi}{4}\right)\right)$,,
A10,,"{""A"": ""$\\frac{1}{e}-1$"", ""B"": ""$-\\frac{1}{e}$"", ""C"": ""$1-\\frac{1}{e}$"", ""D"": ""$\\frac{1}{e}$""}",C,You get $-\left.e^{-s}\right|_0 ^1=-\left(e^{-1}-1\right)$.,You get $-\left.e^{-s}\right|_0 ^1=-\left(e^{-1}-1\right)$.,,
A11,,"{""A"": ""$e-1$"", ""B"": ""$\\frac{1}{2}(e-1)$"", ""C"": ""$2(e-1)$"", ""D"": ""$\\frac{e}{2}-1$""}",B,$\frac{1}{2} \int_0^1 e^{x^2}(2 x d x)=\left.\frac{1}{2} e^{e^3}\right|_0 ^1=\frac{1}{2}(e-1)$,$\frac{1}{2} \int_0^1 e^{x^2}(2 x d x)=\left.\frac{1}{2} e^{e^3}\right|_0 ^1=\frac{1}{2}(e-1)$,,
A12,,"{""A"": ""2"", ""B"": ""$\\frac{1}{2}$"", ""C"": ""-1"", ""D"": ""$-\\frac{1}{2}$""}",B,"Evaluate $-\left.\frac{1}{2} \cos 2 \theta\right|_0 ^{1 / 4}$, which equals $-\frac{1}{2}(0-1)$.","Evaluate $-\left.\frac{1}{2} \cos 2 \theta\right|_0 ^{1 / 4}$, which equals $-\frac{1}{2}(0-1)$.",,
A13,,"{""A"": ""$-\\ln 2$"", ""B"": ""$\\frac{3}{4}$"", ""C"": ""$\\frac{1}{2} \\ln 2$"", ""D"": ""$\\ln 2$""}",D,$-\int_1^a \frac{-d x}{3-z}=-\left.\ln (3-z)\right|_1 ^2=-(\ln 1-\ln 2)$,$-\int_1^a \frac{-d x}{3-z}=-\left.\ln (3-z)\right|_1 ^2=-(\ln 1-\ln 2)$,,
A14,,"{""A"": ""$2 \\int_1^2 \\frac{\\cos ^2 \\theta}{\\sin \\theta} d \\theta$"", ""B"": ""$\\int_{\\pi / 6}^{\\pi / 2} \\frac{\\cos \\theta}{\\sin \\theta} d \\theta$"", ""C"": ""$2 \\int_{\\pi / 6}^{\\pi / 2} \\frac{\\cos ^2 \\theta}{\\sin \\theta} d \\theta$"", ""D"": ""$\\int_1^2 \\frac{\\cos \\theta}{\\sin \\theta} d \\theta$""}",C,"II $x=2 \sin \theta, \sqrt{4-x^2}=2 \cos \theta, d x=2 \cos \theta d \theta$. When $x=1, \theta=\frac{\pi}{6}$; when $x=2, \theta=\frac{\pi}{2}$. The integral is equivalent to $\int_{N / 8}^{\pi / 2} \frac{(2 \cos \theta)(2 \cos \theta) d \theta}{2 \sin \theta}$.","II $x=2 \sin \theta, \sqrt{4-x^2}=2 \cos \theta, d x=2 \cos \theta d \theta$. When $x=1, \theta=\frac{\pi}{6}$; when $x=2, \theta=\frac{\pi}{2}$. The integral is equivalent to $\int_{N / 8}^{\pi / 2} \frac{(2 \cos \theta)(2 \cos \theta) d \theta}{2 \sin \theta}$.",,
A15,,"{""A"": ""$-\\frac{2}{3}$"", ""B"": ""1"", ""C"": ""$\\frac{2}{3}$"", ""D"": ""0""}",C,Braluate $-\int_0^\pi \cos ^2 \theta(-\sin \theta d \theta)$. This equals $-\left.\frac{1}{3} \cos ^3 \theta\right|_0 ^\pi=-\frac{1}{3}(-1-1)$.,Braluate $-\int_0^\pi \cos ^2 \theta(-\sin \theta d \theta)$. This equals $-\left.\frac{1}{3} \cos ^3 \theta\right|_0 ^\pi=-\frac{1}{3}(-1-1)$.,,
