id,text,options,answer,solution,notes,table,graph
B1,"Find the average value of function $f$, as shown in the graph below, on the interval $[0,5]$.
(","{""A"": ""4"", ""B"": ""5"", ""C"": ""7"", ""D"": ""8""}",D,The average value is $\frac{1}{5-0} \int_0^5 f(x) d x$. The integral represents the area of a trapezoid: $\frac{1}{2}(5+3) \cdot 10=40$. The average value is $\frac{1}{5}(40)$.,The average value is $\frac{1}{5-0} \int_0^5 f(x) d x$. The integral represents the area of a trapezoid: $\frac{1}{2}(5+3) \cdot 10=40$. The average value is $\frac{1}{5}(40)$.,,
B2,"The integral $\int_{-4}^4 \sqrt{16-x^2} d x$ gives the area of
(","{""A"": ""a circle of radius 4"", ""B"": ""a semicircle of radius 4"", ""C"": ""a quadrant of a circle of radius 4"", ""D"": ""half of an ellipse""}",B,"Since $x^2+y^2=16$ is a circle, the given integral equals the area of a semicircle of radius 4.","Since $x^2+y^2=16$ is a circle, the given integral equals the area of a semicircle of radius 4.",,
B3,"Calculate the average value of $f(x)$ on the interval $[0,6]$. Which of the following intervals contains $x=c$, where $f(c)$ is the average value of $f$ on $[0,6]$ ?
I. $[0,2]$
II. $[2,4]$
III. $[4,6]$
(","{""A"": ""I only"", ""B"": ""II only"", ""C"": ""III only"", ""D"": ""I and II only""}",D,"A vertical line at $x=2$ divides the area under $f$ into a trapezoid and a triangle; hence, $\int_0^5 f(x) d x=\frac{1}{2}(2+4)(2)+\frac{1}{2}(4)(4)=14$. Thus, the average value of $f$ on $[0,6]$ is $\frac{14}{6}=2 \frac{1}{3}$. There are points on $f$ with $y$-values of $2 \frac{1}{3}$ in the intervals $[0,2]$ and $[2,4]$.","A vertical line at $x=2$ divides the area under $f$ into a trapezoid and a triangle; hence, $\int_0^5 f(x) d x=\frac{1}{2}(2+4)(2)+\frac{1}{2}(4)(4)=14$. Thus, the average value of $f$ on $[0,6]$ is $\frac{14}{6}=2 \frac{1}{3}$. There are points on $f$ with $y$-values of $2 \frac{1}{3}$ in the intervals $[0,2]$ and $[2,4]$.",,
B4,"$\int_0^2 f^{\prime}(3 x) d x=$
(","{""A"": ""-2"", ""B"": ""$-\\frac{2}{3}$"", ""C"": ""$\\frac{2}{3}$"", ""D"": ""2""}",B,$\int_0^2 f(3 x) d x=\frac{1}{3} \int_0^2 f^{\prime}(3 x)(3 d x)=\left.\frac{1}{3} f(3 x)\right|_0 ^2=\frac{1}{3}(f(6)-f(0))=\frac{1}{3}(0-2)$,$\int_0^2 f(3 x) d x=\frac{1}{3} \int_0^2 f^{\prime}(3 x)(3 d x)=\left.\frac{1}{3} f(3 x)\right|_0 ^2=\frac{1}{3}(f(6)-f(0))=\frac{1}{3}(0-2)$,,
B5,"Let $g(x)=\int_0^{2 x} f(t) d t$; then $g^{\prime}(1)=$
(","{""A"": ""3"", ""B"": ""4"", ""C"": ""6"", ""D"": ""8""}",D,$g^{\prime}(x)=f(2 x) \cdot 2$; thus $g^{\prime}(1)=f(2) \cdot 2$,$g^{\prime}(x)=f(2 x) \cdot 2$; thus $g^{\prime}(1)=f(2) \cdot 2$,,
B6,"Let $h(x)=x^2-f(x)$. Find $\int_0^6 h(x) d x$.
(","{""A"": ""38"", ""B"": ""58"", ""C"": ""70"", ""D"": ""74""}",B,$\int_0^6\left(x^2-f(x)\right) d x=\int_0^6 x^2 d x-\int_0^6 f(x) d x=\left.\frac{x^3}{3}\right|_0 ^6-14$. (Why 14 ? See the Solution for Question B3.),$\int_0^6\left(x^2-f(x)\right) d x=\int_0^6 x^2 d x-\int_0^6 f(x) d x=\left.\frac{x^3}{3}\right|_0 ^6-14$. (Why 14 ? See the Solution for Question B3.),,
B7,"If $f(x)$ is continuous on the closed interval $[a, b]$, then there exists at least one number $c, a&lt;c&lt;b$, such that $\int_a^b f(x) d x$ is equal to
(","{""A"": ""$\\frac{f(c)}{b-a}$"", ""B"": ""$f^{\\prime}(c)(b-a)$"", ""C"": ""$f(c)(b-a)$"", ""D"": ""$\\frac{f^{\\prime}(c)}{b-a}$""}",C,This is the Mean Value Theorem for Integrals (page 242).,This is the Mean Value Theorem for Integrals (page 242).,,
B8,"If $f(x)$ is continuous on the closed interval $[a, b]$ and $k$ is a constant, then $\int_a^b k f(x) d x$ is equal to
(","{""A"": ""$k(b-a)$"", ""B"": ""$k[f(b)-f(a)]$"", ""C"": ""$\\left.\\frac{|k f(x)|^2}{2}\\right|_a ^b$"", ""D"": ""$k \\int_a^b f(x) d x$""}",D,"This is theorem (2) from page 242. Prove by counterexamples that (A), (B), and (C) are false.","This is theorem (2) from page 242. Prove by counterexamples that (A), (B), and (C) are false.",,
B9,"$\frac{d}{d t} \int_0^t \sqrt{x^3+1} d x=$
(","{""A"": ""$\\sqrt{t^3+1}$"", ""B"": ""$\\frac{\\sqrt{t^3+1}}{3 t^2}$"", ""C"": ""$3 x^2 \\sqrt{x^3+1}$"", ""D"": ""$\\sqrt{t^3+1}-1$""}",A,"This is a restatement of the Fundamental Theorem. In theorem (1) from page 242, interchange $t$ and $x$.","This is a restatement of the Fundamental Theorem. In theorem (1) from page 242, interchange $t$ and $x$.",,
B10,"If $F(u)=\int_1^{3 u}\left(2-x^2\right)^3 d x$, then $F^{\prime}(u)$ is equal to
(","{""A"": ""$-6 u\\left(2-u^2\\right)^2$"", ""B"": ""$\\left(2-u^2\\right)^3-1$"", ""C"": ""$\\left(2-u^2\\right)^3$"", ""D"": ""$-2 u\\left(2-u^2\\right)^3$""}",C,"Apply theorem (1) from page 242, noting that $$ F^{\prime}(u)=\frac{d}{d u} \int_a^u f(x) d x=f(u) $$","Apply theorem (1) from page 242, noting that $$ F^{\prime}(u)=\frac{d}{d u} \int_a^u f(x) d x=f(u) $$",,
